name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime
Movie85,PG-13,Romance,2020,7.7,870337,Director C,Writer A,Actor A,USA,29134414,2380445232,Paramount,87
Movie86,G,Drama,1985,7.5,178252,Director D,Writer C,Actor A,USA,100128804,64893653,Marvel,175
Movie87,PG,Animation,2012,7.2,482434,Director C,Writer B,Actor A,USA,293531454,2958602155,Warner Bros,137
Movie88,R,Romance,2013,6.2,29243,Director A,Writer A,Actor A,USA,150140639,681499672,Warner Bros,115
Movie89,PG,Sci-Fi,1996,6.9,963498,Director B,Writer C,Actor C,USA,103010037,1849484127,Warner Bros,168
Movie90,G,Drama,2009,7.9,158052,Director D,Writer A,Actor B,USA,213218470,366783627,Paramount,87
Movie91,PG,Drama,1988,7.8,1084747,Director C,Writer B,Actor D,USA,234797386,2602815831,Paramount,108
Movie92,PG,Crime,1999,9.4,1349481,Director D,Writer C,Actor B,USA,223165121,2485695418,Marvel,80
Movie93,G,Sci-Fi,2016,7.5,539219,Director B,Writer B,Actor B,USA,2893723,332202976,Marvel,111
Movie94,R,Comedy,2016,8.1,570646,Director A,Writer A,Actor A,USA,210266558,782031776,Warner Bros,122
Movie95,R,Comedy,2021,6.7,1434242,Director C,Writer B,Actor C,USA,273801161,2775992304,Marvel,125
Movie96,PG-13,Comedy,1980,7.4,1406880,Director A,Writer C,Actor A,USA,125754685,39762164,Warner Bros,178
Movie97,PG-13,Sci-Fi,1994,6.4,1470096,Director D,Writer A,Actor D,USA,238780934,1638855709,Warner Bros,152
Movie98,G,Animation,2005,6.8,349723,Director B,Writer B,Actor A,USA,285214833,442756551,Warner Bros,166
Movie99,R,Comedy,1990,6.5,210508,Director B,Writer C,Actor C,USA,27221311,1318119288,Marvel,115
Movie100,PG,Sci-Fi,2005,6,1764513,Director D,Writer C,Actor B,USA,113762927,2143872840,Marvel,84
Movie101,PG-13,Crime,2014,8,1289784,Director A,Writer C,Actor C,USA,62296224,2388697844,Paramount,178
Movie102,G,Sci-Fi,1993,5.3,878373,Director D,Writer A,Actor D,USA,40661354,2395244920,Warner Bros,130
Movie103,R,Animation,1994,5,526140,Director B,Writer A,Actor C,USA,36840998,1769796679,Universal,114
Movie104,G,Animation,2021,5.4,1684459,Director A,Writer C,Actor C,USA,115691048,455138190,Paramount,129
Movie105,PG,Crime,2015,6.7,1950421,Director A,Writer C,Actor C,USA,33808667,1106977697,Universal,102
Movie106,R,Romance,2000,8,1966127,Director B,Writer B,Actor B,USA,14132024,2498886887,Warner Bros,160
Movie107,G,Drama,1996,6.8,1370167,Director A,Writer A,Actor B,USA,251666377,423063029,Warner Bros,147
Movie108,R,Animation,2004,7.6,1263382,Director D,Writer A,Actor C,USA,23448425,784625851,Paramount,180
Movie109,PG,Crime,1997,6.6,770246,Director B,Writer A,Actor D,USA,90020803,47780153,Universal,86
Movie110,PG,Romance,2021,5.9,58994,Director B,Writer C,Actor B,USA,242364191,1000743675,Warner Bros,99
Movie111,PG-13,Action,1987,6.8,1769211,Director B,Writer A,Actor A,USA,195453258,1130217528,Warner Bros,87
Movie112,G,Romance,2000,6.2,925747,Director C,Writer C,Actor C,USA,123862237,1227817695,Disney,165
Movie113,PG-13,Romance,1983,8.6,1301751,Director B,Writer A,Actor B,USA,121407444,2349544941,Paramount,168
Movie114,R,Action,2002,6.7,1043183,Director D,Writer C,Actor C,USA,233869507,461626413,Universal,175
Movie115,PG,Comedy,1996,9.1,701618,Director D,Writer B,Actor A,USA,124575844,50504738,Marvel,113
Movie116,PG,Drama,2006,6.3,1711428,Director B,Writer B,Actor B,USA,112843824,2045969416,Disney,167
Movie117,PG,Comedy,2012,7.9,713627,Director A,Writer A,Actor D,USA,200872131,1056694487,Marvel,114
Movie118,G,Romance,2012,5.3,756426,Director D,Writer A,Actor D,USA,109781056,924152954,Warner Bros,156
Movie119,PG-13,Crime,1983,8.4,1997534,Director B,Writer C,Actor A,USA,277875894,1839627562,Disney,82
Movie120,PG,Crime,1990,6.5,1952820,Director B,Writer C,Actor A,USA,296265599,1728163357,Disney,142
Movie121,R,Crime,1982,8.3,1529090,Director D,Writer B,Actor A,USA,242802540,1185618971,Warner Bros,92
Movie122,PG-13,Animation,1983,5.4,919239,Director B,Writer A,Actor C,USA,141057527,361002352,Paramount,175
Movie123,PG-13,Action,2021,9.2,913698,Director B,Writer A,Actor C,USA,134216720,1040954555,Marvel,176
Movie124,PG,Action,2019,5.3,1449975,Director D,Writer A,Actor B,USA,16595336,2409892815,Warner Bros,113
Movie125,PG,Romance,1995,5.9,572839,Director B,Writer B,Actor C,USA,204943006,2690135719,Paramount,176
Movie126,PG,Sci-Fi,2014,6.5,1678121,Director B,Writer A,Actor D,USA,61135534,1627047994,Disney,146
Movie127,PG,Animation,1991,9.5,1948175,Director A,Writer A,Actor A,USA,251504930,2781376189,Marvel,81
Movie128,PG-13,Drama,1985,8.9,1684644,Director A,Writer A,Actor A,USA,108954016,2042193515,Marvel,103
Movie129,G,Action,2008,8.6,1087895,Director C,Writer C,Actor A,USA,5922027,2368861766,Warner Bros,152
Movie130,G,Action,2011,8.2,1615940,Director C,Writer C,Actor C,USA,65148433,2538418753,Paramount,87
Movie131,PG,Comedy,1990,8.6,1001241,Director A,Writer C,Actor A,USA,43848800,1257428908,Universal,122
Movie132,PG-13,Animation,2007,7.6,1596825,Director D,Writer B,Actor B,USA,69378710,287621186,Paramount,157
Movie133,G,Crime,2019,9.3,76364,Director C,Writer B,Actor B,USA,220297866,1409119434,Warner Bros,164
Movie134,PG,Crime,2017,6.5,1951312,Director B,Writer B,Actor C,USA,94549887,1996614674,Paramount,153
Movie135,G,Action,2003,7.4,1383549,Director A,Writer B,Actor B,USA,240430614,866620190,Disney,117
Movie136,PG-13,Comedy,2020,5,1882529,Director D,Writer B,Actor B,USA,208274111,1427301044,Warner Bros,126
Movie137,G,Animation,1982,7.3,309498,Director D,Writer B,Actor A,USA,26793366,2742107926,Paramount,122
Movie138,PG-13,Romance,2011,5.1,970782,Director B,Writer B,Actor D,USA,245066397,346968616,Universal,120
Movie139,G,Action,1988,9.2,1793308,Director D,Writer A,Actor A,USA,126158779,2116623675,Disney,169
Movie140,R,Comedy,2020,8.5,1890937,Director B,Writer B,Actor D,USA,190633522,491592650,Paramount,153
Movie141,R,Sci-Fi,1998,6.3,500384,Director A,Writer C,Actor A,USA,178352739,935886224,Marvel,123
Movie142,PG-13,Animation,1995,6.7,224843,Director D,Writer A,Actor C,USA,81458429,1657519339,Warner Bros,107
Movie143,R,Romance,1998,7,126060,Director D,Writer A,Actor A,USA,268723135,2719473135,Paramount,159
Movie144,PG,Animation,1981,6.5,1947757,Director B,Writer B,Actor D,USA,213900638,2890492854,Warner Bros,155
Movie145,R,Animation,2009,5.6,1901720,Director A,Writer A,Actor A,USA,294669924,876531341,Paramount,111
Movie146,PG-13,Comedy,2017,5.2,76230,Director C,Writer C,Actor D,USA,167108209,962161916,Marvel,152
Movie147,R,Crime,1985,7.1,1150508,Director C,Writer B,Actor A,USA,197499293,1228149411,Disney,152
Movie148,R,Drama,2010,6.2,634387,Director B,Writer C,Actor D,USA,3493867,761810959,Paramount,120
Movie149,PG-13,Drama,2015,5.5,780898,Director B,Writer A,Actor B,USA,119061111,1192257166,Paramount,133
Movie150,PG-13,Comedy,2009,7.4,240158,Director C,Writer C,Actor A,USA,135083285,2182487512,Disney,149
Movie151,R,Sci-Fi,1998,6.8,711239,Director D,Writer B,Actor B,USA,265487031,1329507242,Disney,141
Movie152,G,Sci-Fi,1994,8.2,107772,Director D,Writer B,Actor C,USA,289915695,2805588811,Universal,87
Movie153,R,Drama,1989,8.1,1752593,Director B,Writer B,Actor A,USA,276900298,1069659123,Warner Bros,165
Movie154,R,Comedy,1987,7.3,1845938,Director A,Writer B,Actor B,USA,195411609,1704220075,Disney,127
Movie155,G,Drama,2007,7.8,180661,Director C,Writer A,Actor D,USA,291398748,487681999,Marvel,151
Movie156,G,Comedy,2015,9.2,1302535,Director A,Writer A,Actor C,USA,174881054,1855091514,Warner Bros,166
Movie157,G,Sci-Fi,1981,7.3,1088372,Director A,Writer C,Actor C,USA,37207227,540913096,Marvel,83
Movie158,G,Comedy,1988,8.6,775769,Director D,Writer B,Actor B,USA,266867956,2821888980,Universal,148
Movie159,PG,Action,2013,7.3,748666,Director D,Writer B,Actor A,USA,13268589,2567493410,Paramount,111
Movie160,G,Romance,1993,7.4,1255828,Director C,Writer A,Actor D,USA,33131226,1298824376,Marvel,127
Movie161,G,Drama,2016,6.6,799285,Director C,Writer B,Actor A,USA,3766148,1508953932,Warner Bros,152
Movie162,PG-13,Comedy,2003,9.2,1775839,Director D,Writer B,Actor A,USA,183702132,2876243998,Universal,180
Movie163,PG,Drama,2018,8.4,1136630,Director B,Writer A,Actor B,USA,280681714,1627945689,Marvel,138
Movie164,PG,Drama,2013,6.9,1717097,Director B,Writer B,Actor D,USA,182848056,2088793440,Warner Bros,177
Movie165,PG-13,Action,1995,9.4,1102457,Director D,Writer B,Actor A,USA,268256744,2527652290,Warner Bros,169
Movie166,R,Comedy,2010,6,1845375,Director D,Writer C,Actor B,USA,178011172,1427755207,Universal,152
Movie167,R,Romance,1989,7.4,518253,Director C,Writer B,Actor C,USA,202551890,712446797,Disney,88
Movie168,G,Crime,2022,8.8,1390151,Director B,Writer A,Actor D,USA,176514664,2359538262,Paramount,119
Movie169,PG,Romance,1995,9.1,1020290,Director B,Writer C,Actor C,USA,47084392,1573990096,Universal,154
Movie170,G,Comedy,2008,6.7,715774,Director A,Writer B,Actor B,USA,261612890,1790709328,Disney,133
Movie171,PG,Crime,2005,9.4,1759183,Director B,Writer C,Actor A,USA,138972143,1974343521,Paramount,130
Movie172,PG,Sci-Fi,1985,8.8,1112336,Director B,Writer C,Actor A,USA,287080530,1000036703,Warner Bros,139
Movie173,G,Crime,1982,9.4,1865451,Director C,Writer C,Actor C,USA,96464814,2478460150,Universal,172
Movie174,G,Comedy,2010,9.1,499713,Director B,Writer C,Actor B,USA,184713364,1617915181,Warner Bros,166
Movie175,PG-13,Drama,2017,6.8,155644,Director B,Writer A,Actor A,USA,9390665,2731084471,Marvel,88
Movie176,PG,Crime,2003,5.3,338005,Director A,Writer A,Actor A,USA,173235855,479495791,Marvel,155
Movie177,PG-13,Animation,2001,6.1,1067536,Director C,Writer B,Actor D,USA,174239542,2589890397,Marvel,101
Movie178,PG-13,Romance,2006,8.7,714054,Director D,Writer A,Actor A,USA,168436699,2576061131,Paramount,173
Movie179,R,Action,1994,9,1345067,Director C,Writer A,Actor B,USA,191916972,1853539344,Warner Bros,114
Movie180,PG,Comedy,2019,7.5,1691183,Director B,Writer B,Actor D,USA,265278926,2675745249,Paramount,84
Movie181,R,Sci-Fi,1988,5.3,1168886,Director D,Writer A,Actor B,USA,7438960,1298702636,Universal,138
Movie182,R,Sci-Fi,2012,5.4,914416,Director A,Writer B,Actor D,USA,284036595,2156147307,Warner Bros,89
Movie183,R,Animation,2021,6.8,962078,Director A,Writer A,Actor B,USA,63214832,244298836,Universal,107
Movie184,PG,Sci-Fi,1998,9,505974,Director B,Writer B,Actor A,USA,116291809,1974625993,Marvel,126
Movie185,G,Drama,1987,5.4,1697263,Director C,Writer A,Actor A,USA,106957755,1820463608,Warner Bros,115
Movie186,R,Crime,1980,7.3,1707879,Director C,Writer C,Actor A,USA,140669509,1299760556,Marvel,175
Movie187,PG,Romance,2010,8.9,1831402,Director D,Writer C,Actor B,USA,188690454,1442849922,Disney,152
Movie188,R,Crime,1987,5.5,40524,Director D,Writer C,Actor D,USA,288653538,377957632,Disney,157
Movie189,PG,Animation,1989,5.6,1614146,Director D,Writer A,Actor B,USA,19820511,2786049370,Universal,128
Movie190,R,Romance,2007,6.8,1918801,Director D,Writer A,Actor D,USA,105615982,1961590792,Warner Bros,146
Movie191,PG-13,Romance,2006,6.5,1992876,Director A,Writer B,Actor B,USA,273716057,2632253357,Warner Bros,151
Movie192,G,Animation,2008,7.1,1020599,Director A,Writer C,Actor A,USA,150779931,1720030345,Marvel,85
Movie193,PG-13,Animation,2002,8.1,1040636,Director B,Writer C,Actor A,USA,155798997,1230665913,Universal,172
Movie194,PG-13,Sci-Fi,1997,5.3,11628,Director A,Writer C,Actor C,USA,176856364,1914208466,Warner Bros,160
Movie195,G,Animation,2016,6,1658350,Director D,Writer A,Actor B,USA,172367753,2258121054,Warner Bros,127
Movie196,G,Romance,2001,7.2,1987855,Director C,Writer B,Actor A,USA,223400947,1771647173,Marvel,98
Movie197,R,Drama,1988,5.1,23454,Director D,Writer C,Actor D,USA,93967949,2800815693,Disney,105
Movie198,PG-13,Crime,1994,6,1433310,Director C,Writer B,Actor D,USA,112637033,2812787546,Paramount,160
Movie199,R,Comedy,2020,5.5,463467,Director C,Writer B,Actor D,USA,43811291,1181301584,Marvel,110
Movie200,PG-13,Action,2015,7.1,566333,Director B,Writer B,Actor B,USA,217922629,2552189149,Marvel,120
Movie201,R,Sci-Fi,1993,7.6,1174905,Director B,Writer A,Actor C,USA,134414866,586562156,Disney,155
Movie202,PG-13,Crime,1997,7.9,1252368,Director C,Writer A,Actor B,USA,175101750,2469943123,Universal,135
Movie203,PG,Drama,1981,7.1,562450,Director B,Writer B,Actor C,USA,221494384,2436121626,Universal,128
Movie204,G,Sci-Fi,2013,7.7,1476120,Director A,Writer C,Actor D,USA,110843405,2912541285,Warner Bros,87
Movie205,R,Comedy,2002,6.7,1199453,Director B,Writer A,Actor B,USA,242718216,2976589665,Disney,151
Movie206,R,Action,1990,5.8,472441,Director D,Writer A,Actor A,USA,263723426,1475268398,Paramount,139
Movie207,R,Romance,2015,6.3,1822654,Director A,Writer C,Actor D,USA,104587778,1590872359,Marvel,122
Movie208,PG,Comedy,2010,9.5,1126067,Director C,Writer C,Actor C,USA,38548593,2216173331,Universal,117
Movie209,R,Comedy,1980,6.3,33907,Director A,Writer A,Actor C,USA,235557999,2508246003,Universal,106
Movie210,R,Crime,1981,8.2,1050633,Director A,Writer C,Actor C,USA,24793944,1324113007,Warner Bros,160
Movie211,PG-13,Crime,2010,7.4,1121389,Director C,Writer A,Actor C,USA,270483587,447065072,Paramount,93
Movie212,R,Animation,2004,8.6,1716883,Director A,Writer C,Actor C,USA,31603307,2977196118,Warner Bros,170
Movie213,PG-13,Romance,2009,6.7,1003301,Director B,Writer A,Actor C,USA,18876063,805883934,Marvel,111
Movie214,G,Sci-Fi,1997,7.5,1615814,Director B,Writer C,Actor A,USA,51388975,2045260759,Disney,150
Movie215,G,Action,2006,7.1,1400943,Director B,Writer C,Actor B,USA,245875093,2251999865,Warner Bros,152
Movie216,G,Drama,2021,9.1,492422,Director D,Writer A,Actor D,USA,129406660,1032165050,Marvel,157
Movie217,R,Sci-Fi,1994,5.7,1083529,Director D,Writer C,Actor C,USA,118639072,1340230410,Universal,100
Movie218,G,Action,1986,7.7,239081,Director D,Writer C,Actor A,USA,54859353,1409821206,Marvel,99
Movie219,PG-13,Action,1985,8.5,1127210,Director D,Writer A,Actor D,USA,57611371,1975724528,Warner Bros,121
Movie220,G,Comedy,1985,9.4,973985,Director D,Writer C,Actor D,USA,138693156,2325758634,Disney,99
Movie221,G,Action,2021,5.6,637106,Director B,Writer C,Actor D,USA,272300711,403825655,Warner Bros,145
Movie222,PG-13,Comedy,2014,5.9,404838,Director D,Writer A,Actor D,USA,130997889,744665136,Paramount,133
Movie223,R,Animation,2021,8.9,1323839,Director C,Writer B,Actor C,USA,299714410,1148642958,Disney,94
Movie224,G,Crime,2013,7,1901297,Director B,Writer B,Actor C,USA,234855051,1113299967,Disney,151
Movie225,R,Action,2019,8.9,1118695,Director C,Writer C,Actor B,USA,146929507,2100686676,Warner Bros,129
Movie226,G,Action,2009,8.8,1730500,Director A,Writer C,Actor D,USA,3031117,164523113,Marvel,155
Movie227,G,Action,2000,9.1,1776003,Director D,Writer C,Actor A,USA,237385378,2946512457,Universal,161
Movie228,G,Romance,1987,6.4,1263300,Director D,Writer C,Actor A,USA,283017233,1593315135,Marvel,145
Movie229,PG-13,Comedy,2006,6.9,367691,Director C,Writer A,Actor A,USA,287091148,1098233600,Warner Bros,87
Movie230,PG-13,Drama,2021,6.6,831640,Director D,Writer C,Actor C,USA,57750278,2949777524,Marvel,163
Movie231,PG,Comedy,1994,7.9,102273,Director B,Writer C,Actor C,USA,226616865,2918095317,Marvel,134
Movie232,G,Crime,2013,5.7,1397546,Director B,Writer A,Actor B,USA,143644394,1821822695,Marvel,175
Movie233,PG-13,Romance,2020,5.8,994467,Director B,Writer B,Actor A,USA,160055213,2827997086,Marvel,170
Movie234,PG,Romance,2006,9.4,1844097,Director B,Writer A,Actor A,USA,181017689,93786134,Paramount,154
Movie235,PG,Romance,2012,5.5,1132222,Director B,Writer B,Actor C,USA,128539338,1830384831,Paramount,84
Movie236,R,Animation,2000,9,617843,Director B,Writer A,Actor A,USA,214675668,2824697236,Paramount,124
Movie237,G,Crime,2010,6.7,1576461,Director A,Writer A,Actor D,USA,224779098,1395789276,Paramount,160
Movie238,G,Drama,2007,8.3,18591,Director C,Writer B,Actor A,USA,253807217,1239317111,Universal,149
Movie239,PG,Animation,1999,6.4,1453602,Director B,Writer C,Actor D,USA,112867770,2850707768,Warner Bros,91
Movie240,R,Drama,2022,9.2,97747,Director D,Writer B,Actor A,USA,160160436,2670423413,Marvel,130
Movie241,G,Crime,1994,7.8,1762748,Director B,Writer A,Actor A,USA,221565056,1863604790,Paramount,176
Movie242,R,Comedy,2001,5.5,325854,Director A,Writer C,Actor A,USA,193748387,2303410178,Paramount,160
Movie243,PG,Drama,1984,8.4,344145,Director D,Writer B,Actor D,USA,240453769,520017631,Disney,177
Movie244,PG-13,Animation,1981,6.8,1433521,Director A,Writer A,Actor D,USA,55994830,2152602389,Disney,80
Movie245,PG-13,Drama,2021,6.9,1149375,Director C,Writer B,Actor B,USA,69928947,1048322075,Paramount,131
Movie246,PG-13,Drama,1999,9.2,1130507,Director C,Writer B,Actor B,USA,235881908,383306094,Warner Bros,150
Movie247,G,Sci-Fi,2009,9.2,222222,Director D,Writer B,Actor C,USA,36637222,1463974602,Universal,144
Movie248,PG,Sci-Fi,1996,7.9,1390701,Director C,Writer C,Actor B,USA,54476032,2261987935,Universal,178
Movie249,PG,Comedy,1987,7.1,907470,Director B,Writer A,Actor C,USA,132102822,69154675,Paramount,97
